%
%
% ent dat.name dat.joined dat.species dat.coloring dat.gender dat.birthday dat.age dat.hometown dat.favorite_toy dat.favorite_activity dat.favorite_food
"1" "Bear" "April 9, 2004" "Hamster (Syrian)" "Sable" "Male" "October 23, 2003" "Gone to Hamster Heaven" "London,  United Kingdom" "wheel!" "wheel!" "doggie biscuits and banana"
"2" "Kahlua" "May 20, 2004" "Hamster (Syrian)" "Black" "Female" "April 5, 2002" "Gone to Hamster Heaven" "Waco, TX&nbsp; United States" "Ball" "Ball" "Cheerios"
"3" "Phoebie" "May 20, 2004" "Hamster (Chinese)" "Grey" "Female" "February 26, 2004" "Gone to Hamster Heaven" "Waco, TX&nbsp; United States" "Toilet paper tube" "Toilet paper tube" "Sunflower seeds"
"4" "Bailey" "May 20, 2004" "Hamster (Teddy Bear)" "White" "Female" "April 9, 2004" "Gone to Hamster Heaven" "Waco, TX&nbsp; United States" "Wooden box" "Wooden box" "Dried bananas"
"5" "teacake" "April 16, 2004" "Hamster (Syrian)" "Sable" "Female" "September 10, 2003" "Gone to Hamster Heaven" "Miami, FL&nbsp; United States" "her wheel" "her wheel" "yogies and seed treats and nuts"
"6" "Pumpkin" "April 30, 2004" "Hamster (Dwarf)" "Black" "Female" "October 27, 2003" "Gone to Hamster Heaven" "Falmouth, MA&nbsp; United States" "wheel" "wheel" "sunflower seeds"
"7" "Peanut" "April 30, 2004" "Hamster (Dwarf)" "Opal" "Female" "October 27, 2003" "Gone to Hamster Heaven" "Falmouth, MA&nbsp; United States" "wheel" "wheel" "sunflower seeds"
"8" "Cherry" "April 30, 2004" "Hamster (Dwarf)" "Opal" "Female" "August 19, 2003" "Gone to Hamster Heaven" "Falmouth, MA&nbsp; United States" "wheel" "wheel" "sunflower seeds"
"9" "Dandelion" "April 30, 2004" "Hamster (Dwarf)" "Opal" "Female" "August 19, 2003" "Gone to Hamster Heaven" "Falmouth, MA&nbsp; United States" "wheel" "wheel" "sunflower seeds"
"10" "Arthur" "April 15, 2004" "Hamster (Syrian)" "Blonde" "Male" "December 1, 2002" "Gone to Hamster Heaven" "Cambridge, ON&nbsp; Canada" "Hamster ball!" "Hamster ball!" "Strawberries"
"11" "DW" "April 15, 2004" "Hamster (Syrian)" "Cinnamon" "Female" "December 1, 2002" "Gone to Hamster Heaven" "Cambridge, ON&nbsp; Canada" "Her hamster ball" "Her hamster ball" "Carrots, grapes"
"12" "Cutie-Pie" "April 15, 2004" "Hamster (Dwarf)" "Brown" "Male" "February 1, 2002" "Gone to Hamster Heaven" "Cambridge, ON&nbsp; Canada" "Nothing" "Nothing" "Anything!"
"13" "hammy-hoom-hoom" "June 13, 2004" "Hamster (Syrian)" "Golden" "Female" "October 31, 2001" "Gone to Hamster Heaven" "Brooklyn, NY&nbsp; United States" "the wheel! the wall, the metal jungle gym that holds the TV, toilet paper, the stove, the couch, the blockade between my room and the rest of the house, raisins" "the wheel! the wall, the metal jungle gym that holds the TV, toilet paper, the stove, the couch, the blockade between my room and the rest of the house, raisins" "broccoli! raisins! lettuce! punkin' seeds! sunflower seeds!  i don't touch that fancy snack stuff.  screw that."
"14" "George" "April 28, 2004" "Hamster (Syrian)" "Cream" "Male" "December 27, 2003" "Gone to Hamster Heaven" "Oxford,  United Kingdom" "cage bars" "cage bars" "yogurt drops"
"15" "October" "July 29, 2004" "Hamster (Syrian)" "Cinnamon Banded" "Male" "May 2, 2004" "Gone to Hamster Heaven" "Falmouth, MA&nbsp; United States" "sock" "sock" "carrots"
"16" "Caleb" "July 31, 2004" "Hamster (Syrian)" "Black Banded" "Male" "May 1, 2004" "Gone to Hamster Heaven" "East Wareham, MA&nbsp; United States" "Ball." "Ball." "Brocolli,green grapes and apples."
"17" "Kenzye" "July 31, 2004" "Hamster (Teddy Bear)" "Brown" "Female" "May 1, 2004" "Gone to Hamster Heaven" "East Wareham, MA&nbsp; United States" "Ball and wheel" "Ball and wheel" "Grapes and Carrots"
"18" "Dexter" "June 7, 2004" "Hamster (Teddy Bear)" "Golden Banded" "Male" "October 19, 2003" "Gone to Hamster Heaven" "Overland Park, KS&nbsp; United States" "His wheel" "His wheel" "Lettuce, banannas, sunflower seeds, cheese"
"19" "Rosie" "August 26, 2004" "Hamster (Common)" "Golden" "Female" "May 28, 2002" "Gone to Hamster Heaven" "Anchorage, AK&nbsp; United States" "Toy? She'd rather be sleeping!" "Toy? She'd rather be sleeping!" "Carrots"
"20" "Bird" "October 6, 2004" "Hamster (Syrian)" "Sable" "Male" "December 7, 2003" "Gone to Hamster Heaven" "Schenectady, NY&nbsp; United States" "The cage bars." "The cage bars." "Corn (dried) and lettuce"
"21" "Dizzy" "October 6, 2004" "Hamster (Syrian)" "Sable" "Male" "December 7, 2003" "Gone to Hamster Heaven" "Schenectady, NY&nbsp; United States" "The cage bars or the wheel" "The cage bars or the wheel" "Corn (dried), hammie snacks in general"
"22" "Ella" "October 6, 2004" "Hamster (Teddy Bear)" "Sable Banded" "Female" "July 15, 2003" "Gone to Hamster Heaven" "Schenectady, NY&nbsp; United States" "Her wheel and her water bottle" "Her wheel and her water bottle" "Her wheel and her water bottle"
"23" "Pippen" "May 8, 2004" "Hamster (Syrian)" "White" "Female" "October 4, 2003" "Gone to Hamster Heaven" "Newcaslte,  United Kingdom" "Her little church" "Her little church" "Sunflower seeds"
"24" "Marvin" "August 24, 2004" "Hamster (Teddy Bear)" "Orange" "Male" "August 23, 2004" "Gone to Hamster Heaven" "Newcaslte,  United Kingdom" "his Building (lol)" "his Building (lol)" "Everything marvin LOVES food!"
"25" "Gary Gilmore" "January 30, 2005" "Hamster (Syrian)" "Sable" "Male" "May 9, 2003" "Gone to Hamster Heaven" "Tallahassee, FL&nbsp; United States" "Sadly,  it was the inside of our office wall" "Sadly,  it was the inside of our office wall" "poop"
"26" "Teddy" "February 8, 2005" "Hamster (Teddy Bear)" "Sable" "Male" "March 3, 2004" "Gone to Hamster Heaven" "Santa Cruz, CA&nbsp; United States" "carrot chew" "carrot chew" "cashews and yogurt drops"
"27" "Paz" "February 8, 2005" "Hamster (Syrian)" "Cream" "Female" "December 2, 2004" "Gone to Hamster Heaven" "Santa Cruz, CA&nbsp; United States" "Santa Cruz, CA&nbsp; United States" "Santa Cruz, CA&nbsp; United States" "yogurt drops"
"28" "Furbie" "January 20, 2005" "Hamster (Unknown)" "Champagne" "Female" "September 13, 2004" "Gone to Hamster Heaven" "Dunedin, FL&nbsp; United States" "toilet paper roll" "toilet paper roll" "lettuce"
"29" "Dandy (In Loving Memory)" "March 28, 2005" "Hamster (Teddy Bear)" "Cinnamon Banded" "Female" "April 23, 2003" "Gone to Hamster Heaven" "Orlando, FL&nbsp; United States" "Wood chews, toilet paper" "Wood chews, toilet paper" "Corn, and seeds"
"30" "Arnold" "November 17, 2004" "Hamster (Teddy Bear)" "Brown" "Male" "September 8, 2004" "Gone to Hamster Heaven" "Orrington, ME&nbsp; United States" "run-about ball" "run-about ball" "run-about ball"
"31" "Benjamin" "March 15, 2006" "Hamster (Dwarf)" "Champagne" "Male" "November 15, 2005" "Gone to Hamster Heaven" "Cleethorpes / Hull,  United Kingdom" "His ping pong ball." "His ping pong ball." "Broccoli."
"32" "Ron" "February 4, 2006" "Hamster (Syrian)" "Golden" "Male" "May 1, 2005" "Gone to Hamster Heaven" "Cleethorpes / Hull,  United Kingdom" "His Wodent Wheel." "His Wodent Wheel." "Apple."
"33" "Oliver" "March 15, 2006" "Hamster (Dwarf)" "Beige" "Male" "November 15, 2005" "Gone to Hamster Heaven" "Cleethorpes / Hull,  United Kingdom" "His exercise wheel." "His exercise wheel." "Broccoli."
"34" "Peppin Pinabel Namo" "July 31, 2007" "Hamster (Russian)" "Agouti" "Male" "January 10, 2006" "Gone to Hamster Heaven" "London,  United Kingdom" "Green Topped House" "Green Topped House" "Peanut"
"35" "Padgett Rousskin Namo" "July 31, 2007" "Hamster (Russian)" "Argente" "Male" "January 10, 2006" "Gone to Hamster Heaven" "London,  United Kingdom" "Anything he can squish against" "Anything he can squish against" "Peanut"
"36" "Max" "April 9, 2004" "Hamster (Roborovskii)" "Agouti" "Male" "February 1, 2004" "Gone to Hamster Heaven" "Austin, TX&nbsp; United States" "Climbing log" "Climbing log" "Climbing log"
"37" "Belle" "April 9, 2004" "Hamster (Roborovskii)" "Agouti" "Female" "March 1, 2004" "Gone to Hamster Heaven" "Austin, TX&nbsp; United States" "No real favorite chew toy" "No real favorite chew toy" "No real favorite chew toy"
"38" "Simon" "April 9, 2004" "Hamster (Dwarf)" "Grey" "Male" "January 15, 2004" "Gone to Hamster Heaven" "Austin, TX&nbsp; United States" "Wooden bell" "Wooden bell" "Wooden bell"
"39" "Matilda" "April 9, 2004" "Hamster (Dwarf)" "Grey" "Female" "March 1, 2004" "Gone to Hamster Heaven" "Austin, TX&nbsp; United States" "Wooden bell" "Wooden bell" "Seeds"
"40" "Chipper" "April 9, 2004" "Hamster (Dwarf)" "Agouti" "Male" "May 1, 2001" "Gone to Hamster Heaven" "Seattle, WA&nbsp; United States" "Cardboard Tube" "Cardboard Tube" "Cardboard Tube"
"41" "November" "April 20, 2004" "Hamster (Dwarf)" "Lilac" "Male" "January 1, 2004" "Gone to Hamster Heaven" "Newark, DE&nbsp; United States" "Wheel" "Wheel" "Wheel"
"42" "March" "April 20, 2004" "Hamster (Dwarf)" "Brown" "Male" "January 1, 2004" "Gone to Hamster Heaven" "Newark, DE&nbsp; United States" "Dog Bones" "Dog Bones" "Dog Bones"
"43" "Autumn" "June 1, 2004" "Hamster (Dwarf)" "Beige" "Male" "January 1, 2004" "Gone to Hamster Heaven" "Newark, DE&nbsp; United States" "Wheel" "Wheel" "Wheel"
"44" "Sushi" "May 12, 2004" "Hamster (Russian)" "Agouti" "Female" "May 14, 2003" "Gone to Hamster Heaven" "Pittsburg, CA&nbsp; United States" "pink hamster ball..and her wheel..she's always on it.." "pink hamster ball..and her wheel..she's always on it.." "pink hamster ball..and her wheel..she's always on it.."
"45" "Bob" "April 10, 2004" "Hamster (Syrian)" "Agouti" "Male" "February 8, 2003" "Gone to Hamster Heaven" "Stillwater, ME&nbsp; United States" "Wire Spiral" "Wire Spiral" "Pasta"
"46" "Spike" "November 18, 2005" "Gerbil (Dwarf)" "Fawn" "Male" "January 10, 2004" "Gone to Gerbil Heaven" "Madison, WI&nbsp; United States" "Wood house" "Wood house" "Pellets"
"47" "Odd Ball" "June 1, 2006" "Hamster (Dwarf)" "Lilac" "Female" "April 15, 2006" "Gone to Hamster Heaven" "San Antonio, TX&nbsp; United States" "her wheel" "her wheel" "sunflower seeds"
"48" "RIP Chicken" "April 2, 2005" "Hamster (Syrian)" "Honey" "Male" "November 8, 2004" "Gone to Hamster Heaven" "Hicksville, NY&nbsp; United States" "blow-up hamster" "blow-up hamster" "those little corn things"
"49" "Rufus" "April 19, 2004" "Hamster (Syrian)" "Blonde" "Male" "January 1, 2004" "Gone to Hamster Heaven" "Swansea, MA&nbsp; United States" "Wheel" "Wheel" "Wheel"
